Timestamp,How old are you?,What industry do you work in?,Job title,What is your annual salary?,Please indicate the currency,Where are you located? (City/state/country),How many years of post-college professional work experience do you have?
4/24/2019 13:12:27,25-34,Localization,Copy editor/translator,33000,EUR,Ireland,2 - 4 years
4/24/2019 13:12:30,18-24,Journalism,Reporter,"$20,000",USD,Indiana/United States ,1 year or less
4/24/2019 13:12:31,55-64,Education,Teacher,"65,000/year",USD,"Los Angeles, CA, USA",11 - 20 years
4/24/2019 13:12:35,25-34,,Paralegal,95000,USD,,5-7 years
4/24/2019 13:12:36,35-44,IT,Program Manager,103010,USD,"Austin, TX USA",11 - 20 years
4/24/2019 13:12:36,55-64,Utilities ,Administrative support ,"$55,000",CAD,Vancouver British Columbia Canada ,31 - 40 years
4/24/2019 13:12:43,45-54,Software,Program Manager,155515,USD,"Seattle, WA",11 - 20 years
4/24/2019 13:12:44,55-64,Metal Fab Shop,HR Manager,46000,USD,"Clackamas, Oregon United States",31 - 40 years
4/24/2019 13:12:44,25-34,Academic science,Instructor,"100,000",USD,SF Bay Area,5-7 years
4/24/2019 13:12:50,35-44,"Retail food service, corporate HQ",senior project manager,108000,USD,"Seattle, WA",11 - 20 years
4/24/2019 13:12:52,25-34,Education,Speech-langauge Pathologist,100000,USD,,2 - 4 years
4/24/2019 13:12:54,25-34,Production,Theatre Technician / Audio Tech,"45,000",CAD,Ontario,2 - 4 years
4/24/2019 13:12:59,45-54,Post-secondary academic institution supprt staff,Office assistant,"52,500",CAD,"Manitoba, Canada",11 - 20 years
4/24/2019 13:13:04,45-54,Third sector ,Charity support coordinator ,"£24,500 fte",GBP,England ,21 - 30 years
4/24/2019 13:13:09,25-34,,Intelligence Analyst,74000,USD,"Kentucky, USA",11 - 20 years
4/24/2019 13:13:13,25-34,Higher Ed,"Scheduling Manager, Elections Compliance Officer, & Student Affairs Policy analyst",57886.4,USD,"Santa Barbara, CA",2 - 4 years
4/24/2019 13:13:15,25-34,Legal / Administrative,Legal Administrative Coordinator ,43000,USD,San Antonio Texas 78242,5-7 years
4/24/2019 13:13:17,55-64,religious non-profit,HR and Benefits Manager,"90,000",USD,NY,31 - 40 years
4/24/2019 13:13:18,25-34,Public Relations,Vice President,"134,750",USD,New York City,11 - 20 years
4/24/2019 13:13:19,35-44,Nonprofit,"Director, Marketing & Communications","62,000",USD,"St. Louis, MO",11 - 20 years
4/24/2019 13:13:26,25-34,Hospitality,Membership Coordinator,57000,USD,CT,8 - 10 years
4/24/2019 13:13:27,25-34,Government ,Scientist,91000,USD,"Washington, DC, USA",2 - 4 years
4/24/2019 13:13:28,25-34,Government,Policy analyst,"69,581",USD,"Washington, DC",2 - 4 years
4/24/2019 13:13:29,35-44,Software/Tech,"Senior Manager, Data Services",115000,USD,"San Luis Obispo, CA, USA",11 - 20 years
4/24/2019 13:13:30,35-44,Entertainment,HR Director,"80,000",USD,Los Angeles,8 - 10 years
4/24/2019 13:13:37,18-24,"Student , kinda unemployed ",Research assistant,"Under 2,000 I don't pay taxes ",USD,Ohio,1 year or less
4/24/2019 13:13:42,25-34,Defense Contracting,Contracts Manager,90000,USD,Alabama,8 - 10 years
4/24/2019 13:13:44,25-34,Oil/Gas,Engineering Technician,55000+about 21000 in bonus and employee restricted stock,USD,Texas,8 - 10 years
4/24/2019 13:13:50,35-44,Event Planning,Meeting & Sourcing manager,"$70,000",USD,"Dublin, OH, USA",11 - 20 years
4/24/2019 13:13:52,45-54,state government,portfolio manager,108000,USD,"St. Paul, MN USA",21 - 30 years
4/24/2019 13:13:53,25-34,Finance,Research Coordinator,"92,000",USD,"New York, NY",5-7 years
4/24/2019 13:13:59,45-54,non-profit ,Contracts Director,170000,USD,DC,21 - 30 years
4/24/2019 13:14:01,25-34,Non-Profit,Digital Media Specialist,"62,000",CAD,Canada,5-7 years
4/24/2019 13:14:02,35-44,Higher Education,Employment Specialist,"45,000",USD,"St. Louis, MO",11 - 20 years
4/24/2019 13:14:03,25-34,Law (Big law firm) ,Associate,"245,000",USD,"Austin, Texas, USA",8 - 10 years
4/24/2019 13:14:05,35-44,retail/manufacturing,GL Accountant,56000,USD,Portland Oregon USA,21 - 30 years
4/24/2019 13:14:10,45-54,Healthcare,Contract Manager,90000,USD,"Minneapolis, MN USA",21 - 30 years
4/24/2019 13:14:10,45-54,Law Enforcement,Forensic Scientist,"98,000",USD,"Chicago, IL USA",21 - 30 years
4/24/2019 13:14:12,25-34,Financial Services,Manager ,"$48,000",USD,"Boston, MA, USA",8 - 10 years
4/24/2019 13:14:13,25-34,Benefit consulting,Actuary,110000,USD,"Washington, DC",11 - 20 years
4/24/2019 13:14:15,35-44,Consumer goods,Scan Based Trading Analyst,"48,000",USD,St. Paul MN USA,5-7 years
4/24/2019 13:14:15,18-24,Social work,Programs Assistant (Part-time),18096,USD,"Colorado, USA",1 year or less
4/24/2019 13:14:16,35-44,Nonprofit ,Program coordinator ,45000,USD,Midwest city USA ,5-7 years
4/24/2019 13:14:16,35-44,Healthcare,Manager of Project Managers,"116,000",USD,"Portland, OR",11 - 20 years
4/24/2019 13:14:18,35-44,Education ,University lecturer and manager,£60000 ,GBP,UK (north east),11 - 20 years
4/24/2019 13:14:21,18-24,Veterinary,Veterinary technician,26500,USD,Oklahoma ,2 - 4 years
4/24/2019 13:14:26,25-34,Education,Lecturer,"64,000",USD,"Davis, California USA",8 - 10 years
4/24/2019 13:14:31,25-34,Higher Education,Associate Director (student services),"60,000",USD,New York State,8 - 10 years
4/24/2019 13:14:33,35-44,higher ed administration,assistant dean,85000,USD,"Iowa, USA",5-7 years
4/24/2019 13:14:35,35-44,Higher education,Executive Project Coordinator,34500,USD,"Pittsburgh, PA",11 - 20 years
4/24/2019 13:14:40,18-24,Healthcare,Communications Specialist,"54,000",USD,"Boston, MA",2 - 4 years
4/24/2019 13:14:41,25-34,Public Health/Nutrition,Child Nutrition Specialist,"48,000",USD,"Salt Lake City, UT",11 - 20 years
4/24/2019 13:14:48,25-34,Healthcare,Clinical Research Project Manager,68000,USD,"Boston, MA",2 - 4 years
4/24/2019 13:15:01,25-34,Higher Ed,Instructional Design Manager,77000,USD,WFH,8 - 10 years
4/24/2019 13:15:03,35-44,Saas software,Senior Training Associate,"60,000",USD,"Baltimore, MD",8 - 10 years
4/24/2019 13:15:05,45-54,Education,Campus Minister,56000,USD,Washington,11 - 20 years
4/24/2019 13:15:11,25-34,Television,Producer,60000,USD,"Atlanta, GA",5-7 years
4/24/2019 13:15:15,18-24,Environmental Nonprofit,Advocacy and Engagement Coordinator,"30,000",USD,"New York, NY",1 year or less
4/24/2019 13:15:15,25-34,higher education,medical librarian,56000,USD,North Carolina,8 - 10 years
4/24/2019 13:15:19,45-54,hospitality,director architecture construction,157000,USD,washington DC,11 - 20 years
4/24/2019 13:15:25,35-44,Higher Education/Fundraising,Director,85000,USD,"Philadelphia, PA USA",11 - 20 years
4/24/2019 13:15:25,25-34,Law,Associate Attorney,"175,000",USD,"Philadelphia, PA",8 - 10 years
4/24/2019 13:15:26,25-34,Paper Manufacturing,Customer Service Specialist,64000,USD,"Naperville, IL USA (suburb of Chicago)",11 - 20 years
4/24/2019 13:15:27,25-34,Non-profit,Assistant Director,"41,000",USD,Poughkeepsie/NY/USA,5-7 years
4/24/2019 13:15:29,35-44,Accounting,Accountant,62400,USD,"Denver, Colorado",1 year or less
4/24/2019 13:15:31,25-34,Municipal Library,Library Director,"52,000",USD,"Rural WI, USA",8 - 10 years
4/24/2019 13:15:38,45-54,"Insurance, property & casualty",Product analyst,"97,000",USD,Wisconsin,11 - 20 years
4/24/2019 13:15:39,18-24,Academia,Library Assistant,44000,USD,Michigan,1 year or less
4/24/2019 13:15:40,35-44,Technology,Solution Engineer,120000,USD,"Dayton, Ohio",11 - 20 years
4/24/2019 13:15:41,35-44,Government,Analyst Supervisor,138000,USD,Washington DC,11 - 20 years
4/24/2019 13:15:41,25-34,Tics,Project manager,69000,USD,Michigan,8 - 10 years
4/24/2019 13:15:42,35-44,Human Resources,HR Manager,"55,000",USD,"Washington, D.C. United States ",11 - 20 years
4/24/2019 13:15:44,25-34,IT,Business Process Analyst ,"24,750",GBP,Cardiff,2 - 4 years
4/24/2019 13:15:46,45-54,Technology,Senior Software Engineer,146000,USD,"Seattle, WA, USA",21 - 30 years
4/24/2019 13:15:54,35-44,Railway vehicle manufacturing ,Senior Legal Counsel ,96000,EUR,"NRW, Germany ",11 - 20 years
4/24/2019 13:15:55,35-44,Government,Policy Officer,36000,GBP,Scotland,11 - 20 years
4/24/2019 13:16:03,25-34,Consumer Goods & Services,"Director, Training & Communications","69,000",USD,"Buffalo, NY, USA",5-7 years
4/24/2019 13:16:04,25-34,Professional Services,Executive Assistant,"57,000",USD,"Austin, TX",11 - 20 years
4/24/2019 13:16:04,25-34,Media,Senior Producer,82000,USD,"New York, New York",8 - 10 years
4/24/2019 13:16:05,25-34,Manufaturing/ tech,Software Admin,75000,USD,"Durham, NC",2 - 4 years
4/24/2019 13:16:08,25-34,Library,Youth Associate,"39,852",USD,"Tulsa, Oklahoma",2 - 4 years
4/24/2019 13:16:08,25-34,Advertising,Content Manager,"75,000",USD,"Portland, OR, USA",5-7 years
4/24/2019 13:16:12,35-44,Pharma,Specialist,71000,USD,nj,8 - 10 years
4/24/2019 13:16:30,35-44,Legal,HR manager,120500,USD,"New York, ny, usa",11 - 20 years
4/24/2019 13:16:32,25-34,human services nonprofit,program/project manager,49500,USD,kansas city mo,8 - 10 years
4/24/2019 13:16:32,35-44,Federal Government ,Museum curator ,"72,000",USD,"Charleston, SC, USA",11 - 20 years
4/24/2019 13:16:35,35-44,Missile Defense,Software Engineering Manager,"109,500",USD,"Huntsville, Al, USA",8 - 10 years
4/24/2019 13:16:39,35-44,Non Profit Environmental,Development Associate,51500,USD,"Truckee, California United States",8 - 10 years
4/24/2019 13:16:42,35-44,Manufacturing,Controller,"90,000",USD,Missouri,11 - 20 years
4/24/2019 13:16:43,25-34,Biomedical Research,Research Technician,"51,800",USD,"Frederick, MD USA",2 - 4 years
4/24/2019 13:16:47,45-54,Technology,VP communications ,250000,USD,"Washington, dx",21 - 30 years
4/24/2019 13:16:49,25-34,College communications office,Writer,"50,000",USD,"Baltimore, MD",8 - 10 years
4/24/2019 13:16:52,65 or over,corporate office,manager,80000,USD,Connecticut,41 years or more
4/24/2019 13:17:05,25-34,Content strategy,Digital Content Strategy Manager,80000,USD,Memphis / TN / USA,8 - 10 years
4/24/2019 13:17:07,55-64,non profit church,HR Director,32000,USD,"Las Vegas, NV USA",31 - 40 years
4/24/2019 13:17:09,25-34,accounting,tax manager,75000,USD,Fresno/CA/USA,8 - 10 years
4/24/2019 13:17:11,35-44,Libraries,Reference Librarian,"20,000",USD,Houston TX,11 - 20 years
4/24/2019 13:17:13,25-34,Arts Nonprofit,Administrative Director,"24,500",USD,Tennessee ,2 - 4 years
4/24/2019 13:17:15,35-44,Insurance,Department Manager,"100,000",USD,,11 - 20 years
4/24/2019 13:17:19,45-54,Insurance,Technical Assistant,42200,USD,"Portland, OR, USA",11 - 20 years
4/24/2019 13:17:20,45-54,commodities trading,Legal Secretary,"$73,000",USD,Connecticut,21 - 30 years
4/24/2019 13:17:20,25-34,Software,Scrum Master Manager,112300,USD,"Chicago, IL, USA",11 - 20 years
4/24/2019 13:17:23,35-44,Healthcare,Editor,"74,000",USD,Minnesota,11 - 20 years
4/24/2019 13:17:25,25-34,Law,Associate,305000,USD,"Houston, Tx, USA",5-7 years
4/24/2019 13:17:26,25-34,Manufacturing,Financial analyst,59592,USD,"Mason, mi, usa",8 - 10 years
4/24/2019 13:17:29,55-64,Publishing,Senior Editor,"$87,000",USD,New York City,41 years or more
4/24/2019 13:17:30,35-44,Public Relations,Senior Vice President (agency),175000,USD,"New York City, New York, USA",11 - 20 years
4/24/2019 13:17:33,25-34,Biotechnology,Application Scientist,"102,000",USD,"Hartford, CT USA",8 - 10 years
4/24/2019 13:17:39,35-44,Non-Profit/Higher Education,Controller,"75,000",USD,"Minneapolis, MN",11 - 20 years
4/24/2019 13:17:42,25-34,Sexwork,Legal Courtesan,"150,000",USD,Nevada/USA,2 - 4 years
4/24/2019 13:17:48,25-34,Nonprofit,Fundraising Data Analyst ,65000,USD,New York City,2 - 4 years
4/24/2019 13:17:48,35-44,University,Program Manager for (specific type of regulatory compliance) ,"62,000",USD,"Pennsylvania, USA",11 - 20 years
4/24/2019 13:17:49,18-24,Research Administration,Program Administrator,"55,200",CAD,,1 year or less
4/24/2019 13:17:53,25-34,Healthcare,Senior Document Control Specialist,"$40,000",USD,"Tacoma, WA, USA",11 - 20 years
4/24/2019 13:17:54,35-44,Law,Attorney,340000 with approx 140000 bonus,USD,"Washington, D.C.",8 - 10 years
4/24/2019 13:18:04,25-34,higher ed,senior media tech,50000,USD,"burlington, vt, usa",8 - 10 years
4/24/2019 13:18:06,25-34,libraries,librarian,"39,000",USD,"New Albany, IN",5-7 years
4/24/2019 13:18:06,35-44,higher ed,grant writer,66000,USD,"college park, md",8 - 10 years
4/24/2019 13:18:08,35-44,Healthcare ,Social Worker ,"70,000",USD,"Baltimore, MD",2 - 4 years
4/24/2019 13:18:08,35-44,International Trade Customs Brokerage ,Implementation Specialist ,78000,USD,Portland/OR/USA ,11 - 20 years
4/24/2019 13:18:10,25-34,Healthcare,Rehab Director ,82000,USD,Lowell/MA/USA,5-7 years
4/24/2019 13:18:14,25-34,Market Research,Marketing Coordinator ,"34,000",USD,"New Orleans, LA USA",2 - 4 years
4/24/2019 13:18:15,25-34,Entertainment,Internal Audit Manager,"115,000",USD,New York City,5-7 years
4/24/2019 13:18:21,25-34,Healthcare,RN,"55,000",USD,"Washington DC, USA",2 - 4 years
4/24/2019 13:18:22,25-34,Local Government,Director of Aging and Disability Resource Center,"55,000",USD,"Wisconsin, USA",11 - 20 years
4/24/2019 13:18:30,45-54,Education,High school teacher,"$49,178",USD,Small Town/Tennessee/USA,21 - 30 years
4/24/2019 13:18:31,25-34,Non-profit ,Outreach Coordinator,"55,000",USD,Washington DC ,2 - 4 years
4/24/2019 13:18:35,25-34,Healthcare,Administrative Coordinator,"55,328",USD,"Portland, Oregon, USA",8 - 10 years
4/24/2019 13:18:38,35-44,Public Library,Head of Teen Services,73100,USD,Hackensack nj usa,11 - 20 years
4/24/2019 13:18:40,35-44,Government/Engineering,Director,125000,CAD,Ottawa/Ontario/Canada,21 - 30 years
4/24/2019 13:18:48,35-44,Higher Education,Director,"65,500",USD,"Minneapolis, MN US",8 - 10 years
4/24/2019 13:18:55,25-34,Government,Communications Specialist,68500,USD,"Washington, DC",2 - 4 years
4/24/2019 13:18:58,35-44,Health care,Senior consultant ,147000,USD,NYC/NY/US,11 - 20 years
4/24/2019 13:19:03,25-34,Publishing,"Associate, Digital Platforms","49,000",USD,"New York, NY",2 - 4 years
4/24/2019 13:19:03,55-64,Government science research agency,Librarian,"75,000",USD,"Boulder, CO",21 - 30 years
4/24/2019 13:19:04,35-44,Telecommunications,Operations manager,"72000 base, 95k after bonuses",USD,"Portland, OR",5-7 years
4/24/2019 13:19:06,55-64,association ,intl liaison and scholarship administrator,81000,USD,Chicago/IL/USA,31 - 40 years
4/24/2019 13:19:06,25-34,Law,Assistant Attorney,"68,000",USD,"New York, NY, USA",2 - 4 years
4/24/2019 13:19:11,35-44,Legal,Editor,"58,500",USD,"Chicago, IL",21 - 30 years
4/24/2019 13:19:13,45-54,Manufacturing ,Human Resources Manager,"78,000",USD,"Tacoma, Wa",11 - 20 years
4/24/2019 13:19:14,45-54,Retail,Manager,36000,USD,Asheville nc,31 - 40 years
4/24/2019 13:19:17,25-34,Publishing ,Educational Consultant,"62,029.76",USD,Philadelphia PA USA,5-7 years
4/24/2019 13:19:19,25-34,Government Contracting,Social Media Specialist,"75,000",USD,"Silver Spring, MD",8 - 10 years
4/24/2019 13:19:19,35-44,Health Insurance,Claims Examiner I,30000,USD,"Omaha, NE, USA",21 - 30 years
4/24/2019 13:19:20,25-34,Nonprofit Development,Institutional Giving Manager,67000,USD,New York City,2 - 4 years
4/24/2019 13:19:23,35-44,Non-profit IT,Director of Technical Project Management,107000,USD,Atlanta/GA/USA,11 - 20 years
4/24/2019 13:19:25,18-24,Infrastructure / Transportation,Structural Engineering Specialist,65500,USD,New York/New York/USA,2 - 4 years
4/24/2019 13:19:25,35-44,Finance,Controller,"150,000",USD,"San Francisco, CA",11 - 20 years
4/24/2019 13:19:32,45-54,Medicine,Physician,"185,000",USD,Waynesboro/va/usa,21 - 30 years
4/24/2019 13:19:33,25-34,Information technology ,Senior Associate Instructional Designer ,62000,USD,Raleigh NC USA,5-7 years
4/24/2019 13:19:36,35-44,Beauty,Operations manager,58000,USD,Providence RI US,21 - 30 years
4/24/2019 13:19:44,25-34,Construction,Project Manager,"$72,000",CAD,"St. John's, Newfoundland, Canada",11 - 20 years
4/24/2019 13:19:44,35-44,Government/Library,Public Service Librarian,62000,USD,,11 - 20 years
4/24/2019 13:19:44,35-44,Publishing,Sales and Marketing,"87,000",USD,"New York, NY, USA",11 - 20 years
4/24/2019 13:19:46,35-44,Higher Education,Assistant Managing Director,67000,USD,Texas,5-7 years
4/24/2019 13:19:48,25-34,IT,HR Business Partner,"100,000",USD,"Warwick, RI, USA",8 - 10 years
4/24/2019 13:19:50,25-34,healthcare,communications manager,"85,000",USD,,8 - 10 years
4/24/2019 13:19:53,35-44,non profit,Digital Strategist,"55,000",USD,"Boston, MA, USA",8 - 10 years
4/24/2019 13:19:55,35-44,,HR Specialist,70000,USD,,1 year or less
4/24/2019 13:19:56,35-44,Non-profit,Director of Development,75000,USD,Georgia,8 - 10 years
4/24/2019 13:20:12,18-24,Legal services,Document Production Specialist,"16,000",GBP,UK,1 year or less
4/24/2019 13:20:13,35-44,Network security ,Senior software engineer,164000,USD,Austin/Texas/United States ,21 - 30 years
4/24/2019 13:20:16,35-44,International Relations ,Consul,"84,000",USD,Washington DC,11 - 20 years
4/24/2019 13:20:16,25-34,Non-Profit,Program Coordinator,"$49,000",USD,"Chicago, IL",5-7 years
4/24/2019 13:20:21,35-44,Education,Department chair,"83,000",USD,"NH, USA",11 - 20 years
4/24/2019 13:20:22,35-44,Nonprofit,Consultant ,81600 (part time),USD,California,11 - 20 years
4/24/2019 13:20:24,25-34,Arts fundraising,Major Grants Manager,42000,GBP,"London, UK ",8 - 10 years
4/24/2019 13:20:25,35-44,Higher Education,Communication Director,62000,USD,"Milwaukee, WI",11 - 20 years
4/24/2019 13:20:25,35-44,IT,Lead Technical Writer and Information Architect,"90,000",USD,"Philadelphia, PA, USA",11 - 20 years
4/24/2019 13:20:30,45-54,Education (Public University),Administrative Coordinator,52056,USD,"Portland, Oregon, USA",21 - 30 years
4/24/2019 13:20:30,25-34,Tech,Digital Communications Manager,40000,EUR,France,5-7 years
4/24/2019 13:20:31,25-34,health care/human services,enrollment specialist,48000,USD,"Harrisburg, PA USA",8 - 10 years
4/24/2019 13:20:35,25-34,Construction ,Project Assistant ,"38,000.00",USD,"Anchorage, AK USA",5-7 years
4/24/2019 13:20:35,25-34,Legal Field,Executive Director,70000,USD,"Central PA, USA",2 - 4 years
4/24/2019 13:20:36,25-34,Renewable Energy,Senior Marketing Manager,"95,000",USD,"New York, NY, USA",2 - 4 years
4/24/2019 13:20:38,25-34,nonprofit disability resource,Executive Director,53000,USD,"Lexington, KY USA",8 - 10 years
4/24/2019 13:20:50,25-34,NFP Cultural Institution,Administrative Assistant/Project Manager,"43,225.00",USD,"Chicago, IL, USA",8 - 10 years
4/24/2019 13:20:54,25-34,Advertising,Strategist,63500 + commission,USD,NYC,2 - 4 years
4/24/2019 13:20:55,25-34,Information Technology,Lead Software Developer,124000,CAD,Toronto / Ontario / Canada,8 - 10 years
4/24/2019 13:20:56,35-44,Public Health Non-profit ,Public health researcher ,"62,500",USD,Boston MA USA,11 - 20 years
4/24/2019 13:21:01,25-34,Government/Law,Assistant General Counsel,69000,USD,,5-7 years
4/24/2019 13:21:02,25-34,Tribal Government,Accounting Clerk,"37,050.00",USD,"Craig, AK USA",11 - 20 years
4/24/2019 13:21:08,25-34,Construction,Senior Marketing Specialist,"82,000",USD,Colorado,11 - 20 years
4/24/2019 13:21:10,25-34,Automotive ,Program Manager,90000,USD,"Detroit, Michigan, USA",5-7 years
4/24/2019 13:21:12,25-34,Legal,Staff Attorney,"80,000",USD,"Brooklyn, NY, USA",5-7 years
4/24/2019 13:21:15,35-44,Technology,Software Development Engineer in Test,90000,USD,"Cambridge, MA, USA",8 - 10 years
4/24/2019 13:21:17,35-44,Government ,Program Analyst,"88,000",USD,"Aberdeen, MD",11 - 20 years
4/24/2019 13:21:18,25-34,Software ,Project Manager,57500,USD,"Salt Lake City, UT",8 - 10 years
4/24/2019 13:21:20,25-34,Veterinary,Veterinary surgeon,50000,GBP,Uk,8 - 10 years
4/24/2019 13:21:26,35-44,Manufacturing,Controls Engineer,110000,USD,Maryland/USA,11 - 20 years
4/24/2019 13:21:27,35-44,DOD contractor,Project Coordinator,75200,USD,"Centennial, Colorado, USA",8 - 10 years
4/24/2019 13:21:27,25-34,Media,Correspondent,110000,USD,"Washington, DC",11 - 20 years
4/24/2019 13:21:27,25-34,Marketing/PR/Communications,Marketing Communications Manager,"$76,500",USD,"Charlotte, NC, USA",8 - 10 years
4/24/2019 13:21:31,18-24,Research/Advisory,Research Associate,67500,USD,New York City,2 - 4 years
4/24/2019 13:21:32,18-24,EdTech,Junior Content Writer,"45,000",CAD,"Ontario, Canada",1 year or less
4/24/2019 13:21:43,25-34,Business,Recruiter,41600,USD,Pennsylvania,2 - 4 years
4/24/2019 13:21:44,18-24,Law/Legal Aid,Intake Paralegal,32232,USD,"Omaha, NE, United States",2 - 4 years
4/24/2019 13:21:44,25-34,Academia/higher ed,Postdoctoral Researcher,50000,CAD,"Toronto, Canada",2 - 4 years
4/24/2019 13:21:45,25-34,Accounting,Administrative Assistant ,"32,000",USD,"New Bedford, MA, USA",5-7 years
4/24/2019 13:21:49,25-34,Education,Resident Director,33500,USD,,2 - 4 years
4/24/2019 13:21:51,25-34,Banking,Executive Assistant,"70,000",USD,"San Francisco Bay Area, CA, USA",5-7 years
4/24/2019 13:21:51,45-54,legal,legal administrative assistant,"55,000",CAD,"Vancouver, B.C. Canada",21 - 30 years
4/24/2019 13:21:55,35-44,government,web developer,90000,USD,"portland, oregon, usa",11 - 20 years
4/24/2019 13:21:57,35-44,Academic libraries,Library Assistant 3,"40,064",USD,"Minneapolis, MN, US",8 - 10 years
4/24/2019 13:22:00,25-34,Education,Kindergarten Teacher ,"47,000",USD,Boston/ MA,5-7 years
4/24/2019 13:22:01,35-44,healthcare,"manager, medical laboratory scientist","$76,000",USD,"milwaukee, wi USA",11 - 20 years
4/24/2019 13:22:02,35-44,I.T.,Business Technical Support 2,64000,USD,"Riverside, Ca",8 - 10 years
4/24/2019 13:22:03,25-34,Media,Executive Assistant/Operations Coordinator,"42,000",USD,"New York, NY ",2 - 4 years
4/24/2019 13:22:04,25-34,IT,Service Desk Agent,33000,EUR,Finland/Helsinki,1 year or less
4/24/2019 13:22:06,25-34,Oil and gas,Contract specialist,"49,000",USD,Houston Tx,2 - 4 years
4/24/2019 13:22:09,25-34,,Credit Agreement Review Attorney,85000,USD,,2 - 4 years
4/24/2019 13:22:09,18-24,Academia,Research assistant,"30,000",USD,,1 year or less
4/24/2019 13:22:10,25-34,Law,Assistant Counsel,"106,000",USD,"Washington, DC, USA",8 - 10 years
4/24/2019 13:22:13,25-34,Non-profit,Director of Marketing,"44,000",USD,"Harrisonburg, VA",5-7 years
4/24/2019 13:22:14,35-44,Social Services,Program Supervisor,"$52,000",USD,Nashville/TN/United States,11 - 20 years
4/24/2019 13:22:15,65 or over,legal,Records Manager,"86,000",USD,Denver / Colorado / USA,41 years or more
4/24/2019 13:22:17,35-44,Health care,Neurologist,"240,000",USD,"Madison, WI",5-7 years
4/24/2019 13:22:23,35-44,Public Health,Public Health Analyst,"86,660",USD,"Rockville, MD",5-7 years
4/24/2019 13:22:23,25-34,Insurance ,Client Service Rep,62000,CAD,Toronto ,5-7 years
4/24/2019 13:22:24,25-34,Nonprofit (education),Advancement Director,79000,USD,NYC,5-7 years
4/24/2019 13:22:25,25-34,Insurance,Business analyst,80000,USD,"Denver, CO USA",8 - 10 years
4/24/2019 13:22:26,18-24,Recruiting,Analyst,"$60,000",USD,"Seattle, WA, USA",1 year or less
4/24/2019 13:22:26,25-34,Fashion tech/garments,Marketing Associate,"55,000",USD,"New York, NY",5-7 years
4/24/2019 13:22:27,35-44,"Consumer products, ecommerce retail",Sr IT Manager,"98,500",USD,"Boulder, CO USA",11 - 20 years
4/24/2019 13:22:30,35-44,Hospitality,Corporate Payroll Manager,90000,USD,"Portland, Oregon",11 - 20 years
4/24/2019 13:22:31,45-54,Post Secondary Education,Business Analyst,91.553.28,USD,"Portland, OR, USA",11 - 20 years
4/24/2019 13:22:32,25-34,Energy (Oil and Gas),Controls Engineer,112500,USD,Houston/TX/USA,5-7 years
4/24/2019 13:22:35,25-34,Libraries and archives,Reference Archivist,"38,000",USD,"Jefderson City, Missouri, USA",2 - 4 years
4/24/2019 13:22:46,35-44,Pharmaceuticals,Data Manager,148000,USD,"California, USA",11 - 20 years
4/24/2019 13:22:50,25-34,Academia,Lecturer,80000,USD,"Iowa, USA",2 - 4 years
4/24/2019 13:22:58,55-64,Professional Association Management,Director of Education,"73,000",CAD,Toronto/ON/Canada,21 - 30 years
4/24/2019 13:23:06,25-34,Insurance,Sr HR Specialist,"65,000",USD,"Seattle, WA, USA",11 - 20 years
4/24/2019 13:23:07,35-44,Telecom,Consultant,142727,USD,"Frisco, Texas, usa",11 - 20 years
4/24/2019 13:23:12,35-44,Healthcare ,Office manager ,"51,000",USD,Burlington vermont ,11 - 20 years
4/24/2019 13:23:16,25-34,Computer,Computer engineer,150000,USD,"Fort Collins, Colorado, USA",21 - 30 years
4/24/2019 13:23:17,25-34,Advertising,Strategist,"100,000",CAD,Toronto/Ontario/Canada,8 - 10 years
4/24/2019 13:23:17,25-34,Fashion Design,Freelance Designer,"$100,000",USD,"San Francisco, CA USA",11 - 20 years
4/24/2019 13:23:18,25-34,Technology,Software Engineer,74000,USD,Philadelphia/PA/USA,2 - 4 years
4/24/2019 13:23:18,35-44,Hospitality,Corporate executive chef,"$115,000",USD,Dallas/Texas/US,21 - 30 years
4/24/2019 13:23:20,25-34,Design,Strategist ,"62,000",USD,"Chicago, IL",5-7 years
4/24/2019 13:23:21,35-44,Project Management/Consulting,Operational Change Management Communications Manager,"750,000",USD,OKC/OK/USA,11 - 20 years
4/24/2019 13:23:22,25-34,Government,Product Manager,"108,500",CAD,"Ottawa, Ontario, Canada",5-7 years
4/24/2019 13:23:23,35-44,Tech (for HR),Art Director,"99,000",USD,Framingham / MA / USA,21 - 30 years
4/24/2019 13:23:26,25-34,Technology (social media software),Staff Software Engineer,180000,USD,"San Francisco, CA, USA",8 - 10 years
4/24/2019 13:23:27,25-34,Municipal Government/Electric Utility,Renewable Energy Program Manager,"$82,000",USD,"Seattle, WA",11 - 20 years
4/24/2019 13:23:30,45-54,Retail,Retail Associate,Hourly,USD,USA,11 - 20 years
4/24/2019 13:23:34,25-34,Software,Technical Writer,40000,CAD,"Toronto, Ontario, Canada",2 - 4 years
4/24/2019 13:23:35,35-44,Healthcare,Practice Administrator ,77000,USD,"Bridgeport, CT",11 - 20 years
4/24/2019 13:23:41,25-34,Librarianship,Technical Services Librarian,"75,000",USD,"New York City, New York",2 - 4 years
4/24/2019 13:23:42,25-34,IT,Information Systems Specialist,58944,USD,Salem/OR/USA,5-7 years
4/24/2019 13:23:44,35-44,Legal,Attorney,106000,USD,"Columbia, SC, USA",8 - 10 years
